BidID,Timestamp,Region,City,Adexchange,Biddingprice,Payingprice
cb8500a50ebd25d74151b24be5ec7720,2013-06-09 00:01:09.251,2,VhdCLufIPH1ZQMb,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; QQDownload 718),,124
80f66b60a02abeba4cfb71ef2bda30c,2013-06-09 00:01:14.945,2,VhkyZAKoL21_wMb,"MQQBrowser/3.4/Mozilla/5.0 (Linux; U; Android 4.1.2; zh-cn; GT-I8262D Build/JZO54K) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",,275
6137482a15030423ec5bc8eb73fcfa64,2013-06-09 00:01:15.171,2,VhkyZApHONFPwBb,"Mozilla/5.0 (iPhone; CPU iPhone OS 6_1_4 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Mobile/10B350",,0
6137482a15030423ec5bc8eb73fcfa64,2013-06-09 00:01:15.234,2,VhkyZApHO9MHJsf,Mozilla/5.0 (Windows; U; Windows NT 5.1; zh-CN; rv:1.9.2.8;baidu Transcoder) Gecko/20100722 Firefox/3.6.8 ( .NET CLR 3.5.30729),,0
b92e0f457c79b2ae954edaa0010dbfa4,2013-06-09 00:01:18.199,2,VhkyZAn8DIpPJdz,HUAWEI_T8833_TD/1.0 Android/4.0.4 (Linux; U; Android 4.0.4; zh-cn) Release/05.31.2012 Browser/WAP2.0 (AppleWebKit/534.30) Mobile Safari/534.30,,216
35ddebe0754b314d35ba9e4b40b4927a,2013-06-09 00:01:19.365,2,VhkyZApAOc16kOa,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; SE 2.X MetaSr 1.0),,55
9ebcd9c8d7886b9f3c0a1c47663a7f8f,2013-06-09 00:01:20.853,2,VhkyZAnILT89ggk,Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0),,146
8d43c6b3f93954e330e0beddbf3a3cd5,2013-06-09 00:01:21.017,2,Vh1D1w9N3H1_wsc,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",,238
3d9262895fccb7e80d14670ec7be329e,2013-06-09 00:01:21.273,2,VhkyZAnxOqasagE,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",,216
a7a3fa110640bd528fd1d5135b906fd4,2013-06-09 00:01:24.565,2,VhzY1pdEOlqUlhE,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0),,308
